/home/tape_api/start-gw.sh: line 6: export: `BASH_FUNC_which%%=() {  ( alias;': not a valid identifier
INFO:     127.0.0.1:56488 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:56494 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:56500 - "GET /api/v1/archive/files/277c1962-b825-4622-8f63-03096ac72288 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56512 - "POST /api/v1/archive/files/277c1962-b825-4622-8f63-03096ac72288/recall?dir=restore/cold HTTP/1.1" 202 Accepted
INFO:     127.0.0.1:56524 - "GET /api/v1/jobs/JOB-5E0A9712 HTTP/1.1" 200 OK
INFO:     127.0.0.1:52850 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:52856 - "GET /api/v1/jobs/JOB-5E0A9712 HTTP/1.1" 200 OK
INFO:     127.0.0.1:52870 - "GET /api/v1/jobs/JOB-5E0A9712/result HTTP/1.1" 200 OK
INFO:     127.0.0.1:52882 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:47456 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:47466 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:35396 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:35406 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:36122 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:36134 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:36136 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:36158 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:36164 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:60150 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:60166 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:48314 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:48316 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
INFO:     127.0.0.1:59428 - "GET /api/v1/jobs/JOB-9158502C HTTP/1.1" 200 OK
